,X,STATION,Station,State,DATE,TIME,HLY.CLDH.NORMAL,HLY.CLOD.PCTBKN,HLY.CLOD.PCTCLR,HLY.CLOD.PCTFEW,HLY.CLOD.PCTOVC,HLY.CLOD.PCTSCT,HLY.DEWP.10PCTL,HLY.DEWP.90PCTL,HLY.DEWP.NORMAL,HLY.HIDX.NORMAL,HLY.HTDH.NORMAL,HLY.PRES.10PCTL,HLY.PRES.90PCTL,HLY.PRES.NORMAL,HLY.TEMP.10PCTL,HLY.TEMP.90PCTL,HLY.TEMP.NORMAL,HLY.WCHL.NORMAL,HLY.WIND.1STDIR,HLY.WIND.1STPCT,HLY.WIND.2NDDIR,HLY.WIND.2NDPCT,HLY.WIND.AVGSPD,HLY.WIND.PCTCLM,HLY.WIND.VCTDIR,HLY.WIND.VCTSPD
1244,1244,USW00094849,ALPENA CO REGIONAL AIRPORT,MI,23-Feb,9,0,162,151,80,564,43,0,32,16.5,21.1,43.9,1,1,1,6.1,34,21.1,12.7,8,186,7,151,8.1,125,288,2.2
1245,1245,USW00023044,EL PASO INTERNATIONAL AIRPORT,TX,16-Mar,20,1.7,207,377,214,103,99,10,37,23.8,60.8,5.9,1,1,1,48.9,72,60.8,60.2,7,222,3,150,9.7,64,272,3.6
1246,1246,USW00093815,DAYTON INTERNATIONAL AIRPORT,OH,3-Jan,3,0,71,225,37,654,14,5,42.1,23.2,28.5,36.5,1,1,1,12,45,28.5,20.2,6,216,7,203,10.3,47,241,4.5
1247,1247,USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD,AR,9-Jan,19,0.1,166,238,113,399,84,12.9,50,31.3,42.4,22.7,1,1,1,28.4,59,42.4,38.6,4,171,8,139,7.2,57,332,0.4
1248,1248,USW00023042,LUBBOCK INTERNATIONAL AIRPORT,TX,7-Feb,7,0,115,425,89,326,45,10,36,23.1,31.1,33.9,1,1,1,19.9,43,31.1,23.3,7,220,6,172,9.9,29,290,2.8
1249,1249,USW00003860,HUNTINGTON TRI STATE AIRPORT,WV,26-Jan,9,0,100,208,77,588,27,8.1,39,23.4,30.1,35,1,1,1,12.9,46,30,24.3,6,232,7,143,6.8,117,239,2.3
1250,1250,USW00024143,GREAT FALLS AIRPORT,MT,9-Jan,16,0,200,301,118,320,61,-7.1,28.9,14.7,29.7,35.3,1,1,1,1,48,29.7,20.8,6,551,7,112,14.4,33,234,10.5
1251,1251,USW00024153,MISSOULA INTERNATIONAL AIRPORT,MT,2-Mar,1,0,140,280,64,484,31,12,33.1,23.7,29.6,35.4,1,1,1,19.9,37.9,29.6,25.4,4,148,3,138,4.7,338,88,1.3
1252,1252,USW00094012,HAVRE AIRPORT ASOS,MT,26-Feb,7,0,148,318,65,431,38,-7.1,28,13.2,18.7,46.3,1,1,1,-2,35.1,18.7,10.9,6,309,7,166,7.5,186,239,2.5
1253,1253,USW00024225,MEDFORD ROGUE VALLEY INTERNATIONAL AIRPORT,OR,16-Mar,11,0,204,265,67,388,76,30.9,46.6,38.5,50.4,14.6,1,1,1,42.1,57.9,50.4,49.5,1,213,8,176,4.3,278,329,1.5
1254,1254,USW00093842,COLUMBUS METROPOLITAN AIRPORT,GA,8-Feb,23,0.1,65,471,86,343,35,19,55.9,36.7,47,18.1,1,1,1,35.1,60.1,47,44.7,8,186,1,158,5.9,267,352,2.1
1255,1255,USW00013876,BIRMINGHAM AIRPORT,AL,28-Jan,3,-777.7,97,391,65,413,34,15.1,53.1,32.9,39.5,25.5,1,1,1,24.1,57,39.5,36.4,1,177,2,109,6,263,343,0.6
1256,1256,USW00094014,WILLISTON SLOULIN FIELD INTERNATIONAL AIRPORT,ND,14-Jan,22,0,92,392,76,399,40,-18,26.1,6.5,11.7,53.4,1,1,1,-13,30.9,11.6,1.6,6,189,1,135,8.3,158,294,3.1
1257,1257,USW00012924,CORPUS CHRISTI INTERNATIONAL AIRPORT,TX,31-Jan,9,0.6,148,193,111,495,52,32,64.9,49.4,55.1,10.4,1,1,1,43,68,55.1,53.1,1,256,2,225,11.8,53,35,4.5
1258,1258,USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD,AL,15-Mar,1,0.1,89,400,72,390,48,24.1,55,38.8,47.2,17.9,1,1,1,34,62.1,47.2,44.3,1,166,3,158,8,110,64,0.8
1259,1259,USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT,MN,1-Jan,22,0,125,230,74,517,54,-9,28.9,11.1,17.4,47.6,1,1,1,-0.9,33.1,17.4,6.9,8,225,6,163,9.3,40,279,2.2
1260,1260,USW00021504,HILO INTERNATIONAL AIRPORT 87,HI,8-Feb,7,1,244,150,179,341,85,51.1,64,58.1,64.7,1.3,1,1,1,61,68,64.7,64.7,6,615,5,141,6.3,53,229,4.3
1261,1261,USW00012816,GAINESVILLE REGIONAL AIRPORT,FL,19-Feb,18,3.5,170,387,136,238,70,28,63,47.9,65.3,3.2,1,1,1,53.1,75.2,65.3,65,7,180,6,154,8.9,54,279,1.5
1262,1262,USW00013996,TOPEKA MUNICIPAL AIRPORT,KS,2-Feb,23,0,73,449,61,398,20,3,35.1,21.3,28.8,36.2,1,1,1,10.9,45,28.8,23,1,176,8,121,6.9,222,335,1.5
1263,1263,USW00014839,MILWAUKEE MITCHELL INTERNATIONAL AIRPORT,WI,8-Feb,7,0,154,179,113,508,46,-7.1,30.9,14.5,20.7,44.3,1,1,1,1.9,34,20.7,10.3,8,268,7,200,10.3,51,290,4.2
1264,1264,RQW00011641,SAN JUAN L M MARIN INTERNATIONAL AIRPORT,PR,20-Mar,14,18.6,213,114,336,65,271,64,73,68.4,86.9,0,1,1,1,80.1,88,83.6,83.6,2,448,3,364,13.4,0,70,11.2
1265,1265,USW00023009,ROSWELL INDUSTRIAL AIR PARK,NM,17-Feb,19,0.1,136,508,128,152,76,9,37,23.9,51.4,13.7,1,1,1,39,63,51.4,49.5,5,245,6,166,8.9,20,209,2.7
1266,1266,USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT,PA,12-Feb,1,0,101,326,99,382,92,5,37.9,21.5,31.4,33.6,1,1,1,19,43,31.4,24.1,7,218,8,181,9.4,63,305,4.2
1267,1267,USW00023129,LONG BEACH DAUGHERTY AIRPORT,CA,5-Feb,8,-777.7,227,318,135,273,47,32,53.1,43.1,51.2,13.9,1,1,1,45,57,51.1,50.7,8,211,3,125,3.6,324,19,1
1268,1268,USW00023036,AURORA BUCKLEY FIELD ANGB,CO,1-Feb,19,0,302,139,252,216,91,4.1,27.1,16.9,30.5,34.5,1,1,1,14,43,30.5,24.8,5,203,4,198,6.8,183,161,1.7
1269,1269,USW00023009,ROSWELL INDUSTRIAL AIR PARK,NM,6-Feb,7,0,121,487,98,259,34,8.1,32,20.7,30.7,34.3,1,1,1,21,41,30.7,25.2,8,223,1,193,6.2,131,319,2.1
1270,1270,USW00026528,TALKEETNA AIRPORT,AK,2-Jan,10,0,131,276,58,493,42,-18,25,5.6,13.7,51.7,1,1,1,-11,32,13.3,6.3,1,414,2,247,5.6,278,15,5
1271,1271,USW00014860,ERIE INTERNATIONAL AIRPORT,PA,3-Mar,14,0.1,102,177,84,605,32,9,37.9,23.9,34.5,30.6,1,1,1,21.9,50,34.5,26.2,7,314,2,154,12.9,9,275,4.9
1272,1272,USW00014926,ST CLOUD REGIONAL AIRPORT,MN,31-Jan,22,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.1,NA,NA,NA,-9.9,30.9,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
1273,1273,USW00026442,VALDEZ WEATHER SERVICE OFFICE,AK,22-Mar,23,0,141,241,73,501,43,9,32.2,22.2,30.5,34.5,1,1,1,24.1,35.6,30.5,25.5,2,275,3,266,5.8,217,46,3.8
1274,1274,USW00013740,RICHMOND INTERNATIONAL AIRPORT,VA,15-Jan,20,-777.7,141,302,74,408,76,7,44.1,25.4,37,28,1,1,1,24.1,51.8,37,32,1,147,6,138,7.7,100,284,1.1
1275,1275,RQW00011641,SAN JUAN L M MARIN INTERNATIONAL AIRPORT,PR,30-Mar,20,12.5,235,213,300,85,168,64,73,68.8,77.9,0,1,1,1,75,80.1,77.5,77.5,3,496,2,172,8.2,36,85,6.1
1276,1276,USW00014848,SOUTH BEND AIRPORT,IN,12-Jan,2,0,68,165,36,704,27,1.9,33.1,18.4,23.8,41.2,1,1,1,7,37,23.8,14.1,6,337,7,174,10.6,53,241,4.9
1277,1277,USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT,IL,1-Feb,4,0,84,364,72,459,21,-8,30.9,14.5,20.3,44.7,1,1,1,0,35.1,20.3,11.7,7,225,8,144,8.4,133,282,2.8
1278,1278,USW00026533,BETTLES AIRPORT,AK,11-Feb,0,NA,121,390,90,357,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1279,1279,USW00094746,WORCESTER,MA,7-Mar,3,0,NA,NA,NA,NA,NA,-0.8,33.1,18.2,27,38,NA,NA,NA,14,39,27,18.2,7,308,8,214,10.3,50,293,5.5
1280,1280,USW00093058,PUEBLO MEMORIAL AIRPORT,CO,25-Mar,22,-777.7,49,527,100,289,34,14,35.1,24.7,41.2,23.8,1,1,1,28.9,54,41.2,36.9,1,197,7,164,8.8,94,354,3.5
1281,1281,USW00013994,ST LOUIS LAMBERT INTERNATIONAL AIRPORT,MO,19-Jan,6,0,87,235,114,502,62,1.9,36,20.9,27.3,37.7,1,1,1,10.9,41,27.3,18.7,8,221,7,195,9.8,38,277,3.4
1282,1282,USW00024127,SALT LAKE CITY INTERNATIONAL AIRPORT,UT,26-Mar,23,-777.7,230,212,122,327,110,21,37.9,29.9,42.8,22.2,1,1,1,34,53.1,42.8,38.8,4,389,5,269,8.6,53,156,4
1283,1283,USW00003816,PADUCAH BARKLEY REGIONAL AIRPORT,KY,22-Jan,3,0,64,398,57,457,24,8.1,41,24.9,30.9,34.1,1,1,1,15.1,46.9,30.9,25.2,6,176,5,134,7.3,114,274,1.1
1284,1284,USW00013899,PENSACOLA REGIONAL AIRPORT,FL,2-Mar,19,0.3,159,418,86,289,48,28.9,64,48.1,58,7.4,1,1,1,48.2,66,58,57.3,6,208,4,151,8.3,47,243,0.8
1285,1285,USW00003820,AUGUSTA BUSH FIELD AIRPORT,GA,24-Mar,20,0.8,92,459,89,304,56,32,59,46.4,58.3,7.6,1,1,1,46.9,68,58.3,57.7,7,150,5,130,5.6,298,215,1.2
1286,1286,USW00025501,KODIAK AIRPORT,AK,7-Mar,21,0,147,190,113,468,81,8.1,36,24.6,32.3,32.7,1,1,1,23,39,32.3,23.7,8,332,7,171,12.8,49,333,3.1
1287,1287,USW00093814,CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT,KY,19-Mar,20,0.2,164,144,112,499,82,18,48.9,32,45.9,19.3,1,1,1,32,61,45.9,42,1,163,8,159,9.3,38,353,1.3
1288,1288,USW00012836,KEY WEST INTERNATIONAL AIRPORT,FL,18-Mar,8,7.4,182,322,244,140,113,53.1,72,63.9,72.1,0.4,1,1,1,64,78.1,72,72,2,270,4,207,11.4,31,70,4.8
1289,1289,USW00013876,BIRMINGHAM AIRPORT,AL,8-Jan,22,0.1,128,382,65,362,63,15.1,54,33.4,42,23.1,1,1,1,27,60.1,42,38.9,1,175,8,156,6.4,224,306,1.1
1290,1290,USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT,IL,16-Feb,22,0,79,374,69,446,32,3,36,21.2,27.9,37.1,1,1,1,12,42.1,27.9,20.4,7,228,8,137,8.9,118,285,1.9
1291,1291,USW00013985,DODGE CITY REGIONAL AIRPORT,KS,6-Mar,23,-777.7,67,540,104,250,40,10.9,41,26.2,37.4,27.6,1,1,1,24.1,52,37.4,30.2,5,291,1,172,12.8,24,154,1.9
1292,1292,USW00023194,WINSLOW MUNICIPAL AIRPORT,AZ,1-Mar,18,0.2,42,796,50,93,19,3.9,33.1,19.3,53.1,12.1,NA,NA,NA,41,64,53.1,51,6,261,7,195,11.1,53,256,6.1
1293,1293,USW00014895,AKRON CANTON AIRPORT,OH,24-Feb,18,-777.7,232,76,69,567,57,9,39.9,24.2,35.1,29.9,1,1,1,21.2,50,35.1,27.9,7,231,6,198,10.7,9,262,4.3
1294,1294,USW00014771,SYRACUSE HANCOCK INTERNATIONAL AIRPORT,NY,1-Feb,22,0,98,84,72,692,54,1,30.9,16.5,23.5,41.5,1,1,1,9,36,23.5,14.7,7,254,3,175,9.4,84,265,3.9
1295,1295,USW00014929,ABERDEEN REGIONAL AIRPORT,SD,19-Jan,1,0,NA,NA,NA,NA,NA,-17,25,6.7,11.7,53.3,NA,NA,NA,-11,28.9,11.7,-0.3,8,203,5,175,9.9,77,322,2.5
1296,1296,USW00014923,MOLINE QUAD CITY INTERNATIONAL AIRPORT,IL,8-Feb,15,-777.7,149,265,82,458,46,-2,35.1,19.1,30.5,34.5,1,1,1,12,46.9,30.5,21.6,7,223,8,201,11.7,13,276,4.1
1297,1297,USW00014755,MOUNT WASHINGTON,NH,22-Feb,9,0,NA,NA,NA,NA,NA,-20.9,26.2,2.7,NA,55.2,NA,NA,NA,-10.1,27.9,9.8,NA,7,318,8,307,41.7,10,283,27.4
1298,1298,USW00023183,PHOENIX SKY HARBOR INTERNATIONAL AIRPORT,AZ,28-Feb,12,3.7,312,192,185,164,146,19,46.9,33.8,66.4,2.3,1,1,1,57,75.9,66.4,66.3,3,234,4,220,6.5,98,136,2
1299,1299,USW00027502,BARROW W POST W ROGERS AIRPORT,AK,17-Mar,14,0,136,340,120,315,88,-27.9,3,-14,-8.5,73.8,1,1,1,-23.1,6.8,-8.8,-27.2,2,256,3,251,11.8,22,65,4.4
1300,1300,USW00012842,TAMPA INTERNATIONAL AIRPORT,FL,1-Jan,4,0.8,208,297,130,254,110,33.1,66.9,52.1,56,9.8,1,1,1,41,68,56,54.7,2,267,3,176,6,175,52,2.8
1301,1301,USW00093817,EVANSVILLE REGIONAL AIRPORT,IN,28-Feb,16,0.5,132,303,77,446,41,18,48,31.4,48.1,17.4,1,1,1,33.1,64.9,48.1,44.3,8,190,6,165,10.9,31,287,2.9
1302,1302,USW00012843,VERO BEACH INTERNATIONAL AIRPORT,FL,20-Jan,2,1,176,440,132,188,65,35.6,66,52.1,56.7,9.3,1,1,1,42.1,69.8,56.7,55.7,8,265,7,140,7,201,286,1.7
1303,1303,USW00026451,ANCHORAGE TED STEVENS INTERNATIONAL AIRPORT,AK,29-Mar,10,0,250,133,65,444,108,5.7,30,18.6,29.4,35.6,1,1,1,21,37,29.4,22.7,1,376,2,171,7.4,91,11,3.4
1304,1304,USW00003856,HUNTSVILLE INTERNATIONAL AIRPORT JONES FIELD,AL,26-Jan,1,-777.7,79,362,65,463,30,15.1,50,30.8,37.7,27.3,1,1,1,23,53.1,37.7,33,4,198,1,152,7.8,118,71,0.9
1305,1305,USW00014732,LA GUARDIA AIRPORT,NY,26-Feb,17,-777.7,256,126,126,387,106,7,39.9,23.8,41.3,23.7,1,1,1,32,52,41.3,34.6,8,319,2,139,14.1,11,314,5.9
1306,1306,USW00014941,NORFOLK KARL STEFAN MEMORIAL AIRPORT,NE,11-Mar,13,0.3,129,321,88,409,54,9.3,39,25.5,41.4,23.8,1,1,1,24.1,60.1,41.4,34.9,8,231,1,195,14.6,27,325,3.4
1307,1307,USW00023157,BISHOP AIRPORT,CA,8-Mar,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.4,NA,NA,NA,28,46.9,37.6,NA,NA,NA,NA,NA,NA,NA,NA,NA
1308,1308,USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT,VA,22-Jan,18,0,183,140,190,403,85,3.9,37.9,22.1,37,28,1,1,1,23.2,50,37,30.7,8,298,5,168,9.6,34,312,3.6
1309,1309,USW00003947,KANSAS CITY INTERNATIONAL AIRPORT,MO,21-Feb,16,0.2,195,162,117,444,82,12,42.1,27,43.9,21.4,1,1,1,26.1,62.1,43.9,38.7,8,205,5,176,13,33,272,1.9
1310,1310,USW00014852,YOUNGSTOWN WARREN REGIONAL AIRPORT,OH,29-Jan,13,0,146,50,55,693,55,3,34,20.2,29.6,35.4,1,1,1,15.1,44.1,29.6,20.5,6,261,7,219,11.8,29,244,6.1
1311,1311,USW00012815,ORLANDO INTERNATIONAL AIRPORT,FL,31-Mar,3,1,174,405,119,190,112,46.9,66.9,57.8,61.5,4.5,1,1,1,52,69.1,61.5,61.3,1,132,4,123,6.1,156,261,0.3
1312,1312,USW00013741,ROANOKE REGIONAL AIRPORT,VA,30-Mar,2,0.1,104,439,86,327,45,21,51.1,34.8,47.2,17.9,1,1,1,35.1,60.1,47.2,44.8,8,225,7,161,6.4,247,291,3.2
1313,1313,USW00013897,NASHVILLE INTERNATIONAL AIRPORT,TN,2-Mar,6,-777.7,134,223,125,440,77,18,48.9,31.9,38.9,26.1,1,1,1,25,55.9,38.9,34.6,5,214,1,178,7.8,102,280,0.9
1314,1314,USW00026617,NOME MUNICIPAL AIRPORT,AK,11-Jan,10,0,98,320,84,438,59,-25.1,24.1,0.1,6.8,58.3,1,1,1,-18.9,28,6.7,-4.3,3,220,2,215,9.7,180,51,6.3
1315,1315,USW00023061,ALAMOSA SAN LUIS VALLEY REGIONAL AIRPORT,CO,5-Feb,23,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.7,NA,NA,NA,-5.1,26.1,12.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
1316,1316,USW00014733,BUFFALO NIAGARA INTERNATIONAL,NY,5-Feb,22,0,103,100,105,636,57,3,32,18.2,24.6,40.4,1,1,1,10,37,24.6,14.5,6,286,7,227,11.8,29,243,6.3
1317,1317,USW00014942,OMAHA EPPLEY AIRFIELD,NE,13-Feb,1,0,90,371,106,387,45,0,32,17.9,23.7,41.3,1,1,1,5,37,23.7,15.1,1,229,4,213,9,93,348,1.1
1318,1318,USW00024131,BOISE AIR TERMINAL,ID,28-Jan,8,0,115,226,88,552,18,10.9,33.1,22.3,27.1,37.9,1,1,1,15.1,37.9,27.1,21,4,460,3,120,6.6,187,133,4.2
1319,1319,USW00023174,LOS ANGELES INTERNATIONAL AIRPORT,CA,22-Mar,5,-777.7,163,292,158,308,79,36,54,46.7,53.7,11.3,1,1,1,48.9,57.9,53.7,53.3,3,317,2,150,5,211,56,1.7
1320,1320,USW00014733,BUFFALO NIAGARA INTERNATIONAL,NY,31-Mar,20,-777.7,157,159,96,522,66,17.1,45,31.3,40.8,24.3,1,1,1,30.9,55,40.8,35.1,6,341,2,160,10.6,33,242,2.9
1321,1321,USW00014847,SAULT STE MARIE SANDERSON FIELD,MI,19-Feb,1,0,109,239,52,554,46,-7.1,30,11.5,17.4,47.6,1,1,1,1.9,33.1,17.4,8.8,3,221,8,145,7.1,114,15,1.3
1322,1322,USC00244558,KALISPELL GLACIER PARK INTERNATIONAL AIRPORT,MT,25-Feb,3,0,93,233,48,607,19,3,32,20.8,25.2,39.8,1,1,1,9,36,25.2,21.4,5,138,1,135,4,460,38,0.5
1323,1323,USW00014922,MINNEAPOLIS ST PAUL INTERNATIONAL AIRPORT,MN,22-Jan,21,0,117,261,85,476,61,-11.9,27,8.8,16.2,48.8,1,1,1,-2,32,16.2,5.1,8,234,4,142,10,60,287,2.4
1324,1324,USW00093814,CINCINNATI NORTHERN KENTUCKY INTERNATIONAL AIRPORT,KY,22-Jan,7,0,61,186,73,595,84,0,37,20,25.6,39.4,1,1,1,7,41,25.6,17.5,6,236,7,166,8.9,82,244,3.2
1325,1325,USW00014840,MUSKEGON CO AIRPORT,MI,1-Feb,22,0,83,162,49,665,40,5,33.1,18.8,24.8,40.2,1,1,1,12,37,24.8,15.8,8,147,7,141,10.4,91,266,2.1
1326,1326,USW00026510,MCGRATH AIRPORT,AK,3-Feb,0,NA,133,263,91,459,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1327,1327,USW00014777,WILKES BARRE SCRANTON INTERNATIONAL AIRPORT,PA,12-Jan,15,-777.7,143,166,97,551,44,1,35.1,19.1,30.8,34.2,1,1,1,17.1,45,30.8,22.8,6,258,8,214,10,54,281,5.9
1328,1328,USW00093730,ATLANTIC CITY INTERNATIONAL AIRPORT,NJ,16-Jan,9,0,143,370,70,351,66,3,43,23.3,31.2,33.8,1,1,1,14,45,31.2,23.8,8,232,7,227,10,86,288,5
1329,1329,USW00003940,JACKSON INTERNATIONAL AIRPORT,MS,17-Feb,9,0.2,121,281,88,481,28,23,59,41.3,49.5,15.6,1,1,1,36,63,49.5,46.9,5,215,1,166,8.7,67,110,0.9
1330,1330,USW00013739,PHILADELPHIA INTERNATIONAL AIRPORT,PA,22-Mar,20,0.1,189,202,177,364,68,12,48,30.8,46.2,18.9,1,1,1,36,57.9,46.2,41.9,8,178,5,167,10.6,7,305,2.2
1331,1331,USW00014920,LA CROSSE MUNICIPAL AIRPORT,WI,19-Mar,16,0.2,164,263,81,440,52,10.9,39,25,43.8,21.5,NA,NA,NA,30.9,60.1,43.8,38.5,8,326,5,140,11.7,27,297,2.7
1332,1332,USW00024128,WINNEMUCCA MUNICIPAL AIRPORT,NV,18-Jan,16,0,168,357,89,329,56,12.9,33.1,23.9,38.7,26.3,1,1,1,27,51.1,38.7,33.8,2,279,5,156,7.7,111,5,0.4
1333,1333,USW00014913,DULUTH INTERNATIONAL AIRPORT,MN,1-Mar,7,0,73,285,103,499,41,-14.1,28,9.2,14.3,50.7,1,1,1,-6,30.9,14.3,3.3,8,229,1,202,9.6,71,360,2.1
1334,1334,USW00024229,PORTLAND INTERNATIONAL AIRPORT,OR,6-Jan,3,0,144,94,48,667,46,23,44.1,34.6,38.9,26.1,1,1,1,30,48,38.9,33.8,4,334,3,235,9,140,135,6.6
1335,1335,USW00012839,MIAMI INTERNATIONAL AIRPORT,FL,2-Jan,23,4.3,238,225,227,148,162,44.1,69.1,59.5,66.5,2.8,1,1,1,54,73.9,66.5,66.3,3,238,8,171,7.3,82,61,2.2
1336,1336,USW00094789,JFK INTERNATIONAL AIRPORT,NY,23-Jan,19,0,215,185,149,357,94,0,37.9,20.4,33.3,31.7,1,1,1,19.9,44.1,33.3,24.4,7,249,8,233,13.1,4,292,6.9
1337,1337,USW00014918,INTERNATIONAL FALLS INTERNATIONAL AIRPORT,MN,5-Jan,18,0,61,325,91,505,18,-20,24.1,2.7,8.5,56.5,1,1,1,-11.9,28,8.5,-2.2,7,202,8,170,7.8,109,278,2.4
1338,1338,USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD,AR,18-Jan,7,-777.7,180,218,146,384,72,12.9,46.9,28.7,34.5,30.5,1,1,1,21.9,48,34.5,29.6,2,153,1,146,6.6,104,321,1.8
1339,1339,USW00003872,BECKLEY RALEIGH CO AIRPORT,WV,28-Jan,21,0,97,275,53,524,51,5.2,37.9,22,31.5,33.5,1,1,1,16,46.9,31.5,24.8,4,219,8,216,8.6,76,231,2.5
1340,1340,USW00093058,PUEBLO MEMORIAL AIRPORT,CO,22-Mar,12,1.4,152,452,106,265,25,11.8,33.1,23.3,54.2,12.2,1,1,1,34,71.1,54.2,52.1,4,189,3,171,10.8,60,114,0.3
1341,1341,USW00024227,OLYMPIA AIRPORT,WA,25-Jan,4,0,76,91,47,757,29,26.1,45,35.6,37.5,27.5,1,1,1,28,46.9,37.5,34,5,283,6,264,5.7,290,195,4.2
1342,1342,USW00023044,EL PASO INTERNATIONAL AIRPORT,TX,26-Feb,13,2.3,244,223,216,183,135,12,37,24.7,62.4,4.9,1,1,1,51.1,73,62.4,62,7,279,6,245,11.1,47,246,6.4
1343,1343,USW00012916,NEW ORLEANS INTERNATIONAL AIRPORT,LA,22-Jan,10,0.8,229,182,108,392,90,25,64,44.5,54.5,11.3,1,1,1,41,69.1,54.5,52.4,2,219,1,169,10.5,27,57,2.9
1344,1344,USW00014737,ALLENTOWN LEHIGH VALLEY INTERNATIONAL AIRPORT,PA,7-Feb,8,0,126,299,117,405,53,1.9,32,17.4,25.1,39.9,1,1,1,12,36,25.1,17.3,7,197,8,191,8.3,120,304,3.5
1345,1345,USW00012834,DAYTONA BEACH INTERNATIONAL AIRPORT,FL,17-Jan,1,0.3,162,436,107,244,51,30,63,47.5,52.4,12.9,1,1,1,39,66,52.4,51,8,228,7,159,5.9,242,291,2.6
1346,1346,USW00094830,TOLEDO EXPRESS AIRPORT,OH,16-Jan,17,0,135,199,64,570,32,1,34,19,27.6,37.4,1,1,1,12.9,41,27.6,18,6,309,7,207,11.5,24,244,5.5
1347,1347,USW00014925,ROCHESTER INTERNATIONAL AIRPORT,MN,6-Jan,15,0,129,305,77,446,43,-6,30,13.7,20.4,44.6,1,1,1,3,35.1,20.4,7.6,8,267,7,152,14.4,16,276,5
1348,1348,USW00013737,NORFOLK INTERNATIONAL AIRPORT,VA,16-Mar,8,0.1,151,274,167,350,58,19.4,53.1,36,46.3,18.7,1,1,1,36,59,46.3,41.7,1,199,6,191,11.8,42,349,2.9
1349,1349,USW00023237,STOCKTON METROPOLITAN AIRPORT,CA,8-Feb,11,-777.7,181,346,94,323,57,35.1,52,44.3,52.5,12.5,1,1,1,46,59,52.5,51.4,4,263,8,166,8.2,125,176,2
1350,1350,USW00024143,GREAT FALLS AIRPORT,MT,6-Feb,5,0,133,341,90,370,66,-8,26.1,12.5,22.6,42.5,1,1,1,-2.9,41,22.5,12.3,6,569,5,101,12.1,53,226,9.1
1351,1351,USW00025501,KODIAK AIRPORT,AK,15-Mar,20,0,170,123,103,525,78,9,37,25.8,33.4,31.7,1,1,1,23,39.9,33.3,25.2,8,355,4,121,12.3,40,347,2.9
1352,1352,USW00024018,CHEYENNE MUNICIPAL AIRPORT,WY,16-Jan,22,0,142,497,110,207,44,0,23,12.3,25.5,39.5,1,1,1,10.9,39,25.5,15.1,7,394,8,213,13.1,27,280,9.7
1353,1353,USW00023188,SAN DIEGO INTERNATIONAL AIRPORT,CA,15-Feb,15,1.7,242,161,166,303,128,36,55.9,47.1,63.6,3,1,1,1,57.9,71.1,63.6,63.6,8,416,7,289,11.3,0,278,7.7
1354,1354,USW00014929,ABERDEEN REGIONAL AIRPORT,SD,9-Feb,23,0,NA,NA,NA,NA,NA,-13,28.9,10.1,15,50.2,NA,NA,NA,-7.1,33.1,14.8,3.5,5,219,1,188,10.2,70,324,2.1
1355,1355,USW00013963,LITTLE ROCK AIRPORT ADAMS FIELD,AR,13-Mar,14,2.9,239,150,127,382,103,24.1,57.9,40.8,61.1,6.8,1,1,1,45,75.2,61.1,60,4,163,8,135,11.2,16,197,0.7
1356,1356,USW00024243,YAKIMA AIRPORT,WA,7-Mar,10,-777.7,130,335,107,339,89,21.9,41,31.7,44.4,20.6,1,1,1,36,52,44.4,42.3,7,156,8,144,4.8,297,280,1.7
1357,1357,USW00003937,LAKE CHARLES REGIONAL AIRPORT,LA,10-Jan,13,1.5,156,305,87,406,46,25,63,43.4,57.4,9.1,1,1,1,43,72,57.4,55.8,1,202,2,163,11.1,20,43,1.5
1358,1358,USW00025308,ANNETTE WEATHER SERVICE OFFICE AIRPORT,AK,19-Mar,6,0,116,105,80,645,55,23,39.9,32.3,37.7,27.3,1,1,1,30.9,44.1,37.7,32.8,4,258,3,162,8,145,118,4.5
1359,1359,USW00013874,ATLANTA HARTSFIELD INTERNATIONAL AIRPORT,GA,4-Jan,8,0,168,161,119,458,93,14,54,32.7,38.6,26.4,1,1,1,24.1,55,38.6,33.1,8,345,3,202,8.8,62,320,2.7
1360,1360,USW00014735,ALBANY INTERNATIONAL AIRPORT,NY,24-Jan,4,0,121,273,81,499,26,-8.9,30.9,12.4,19.1,46,1,1,1,0,35.1,19,11.6,5,182,8,171,7.1,223,275,2.8
